,ROOT,ROOT_lemma,ROOT_text,_is_fact,_is_query,_is_rule,_lemma,_text,acl,acl_lemma,acl_text,acomp,acomp_lemma,acomp_text,advcl,advcl_lemma,advcl_text,advmod,advmod2,advmod2_lemma,advmod2_text,advmod_lemma,advmod_text,agent,agent2,agent2_lemma,agent2_text,agent_lemma,agent_text,amod,amod2,amod2_lemma,amod2_text,amod3,amod3_lemma,amod3_text,amod_lemma,amod_text,appos,appos_lemma,appos_text,attr,attr_lemma,attr_text,aux,aux2,aux2_lemma,aux2_text,aux_lemma,aux_text,auxpass,auxpass_lemma,auxpass_text,cc,cc2,cc2_lemma,cc2_text,cc_lemma,cc_text,ccomp,ccomp_lemma,ccomp_text,compound,compound2,compound2_lemma,compound2_text,compound3,compound3_lemma,compound3_text,compound4,compound4_lemma,compound4_text,compound_lemma,compound_text,conj,conj2,conj2_lemma,conj2_text,conj3,conj3_lemma,conj3_text,conj_lemma,conj_text,dep,dep2,dep2_lemma,dep2_text,dep_lemma,dep_text,det,det2,det2_lemma,det2_text,det3,det3_lemma,det3_text,det_lemma,det_text,dobj,dobj2,dobj2_lemma,dobj2_text,dobj_lemma,dobj_text,npadvmod,npadvmod_lemma,npadvmod_text,nsubj,nsubj2,nsubj2_lemma,nsubj2_text,nsubj3,nsubj3_lemma,nsubj3_text,nsubj_lemma,nsubj_text,nsubjpass,nsubjpass_lemma,nsubjpass_text,nummod,nummod_lemma,nummod_text,pcomp,pcomp_lemma,pcomp_text,pobj,pobj2,pobj2_lemma,pobj2_text,pobj3,pobj3_lemma,pobj3_text,pobj4,pobj4_lemma,pobj4_text,pobj5,pobj5_lemma,pobj5_text,pobj_lemma,pobj_text,poss,poss_lemma,poss_text,prep,prep2,prep2_lemma,prep2_text,prep3,prep3_lemma,prep3_text,prep4,prep4_lemma,prep4_text,prep5,prep5_lemma,prep5_text,prep6,prep6_lemma,prep6_text,prep7,prep7_lemma,prep7_text,prep_lemma,prep_text,punct,punct2,punct2_lemma,punct2_text,punct3,punct3_lemma,punct3_text,punct_lemma,punct_text,relcl,relcl2,relcl2_lemma,relcl2_text,relcl_lemma,relcl_text,xcomp,xcomp_lemma,xcomp_text
"
",,,,0,0,0,"
","
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",,,,and,and,,,,,,,,,,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",,,,,,,more,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,.,,,,,,,,,
,be,be,is,0,0,0,,"Our hope is to empower new use cases that can lead to the exploration of richer machine learning techniques that combine multi-modal features towards applications like trend analysis,",,,,,,,,,,,,,,,,,,,,,,new,rich,rich,richer,modal,modal,modal,new,new,,,,,,,to,can,can,can,to,to,,,,,,,,,,,,,use,machine,machine,machine,learning,learning,learning,trend,trend,trend,use,use,,,,,,,,,,multi,-,-,-,multi,multi,the,,,,,,,the,the,case,feature,feature,features,case,cases,,,,hope,that,that,that,that,that,that,hope,hope,,,,,,,,,,exploration,technique,technique,techniques,application,application,applications,analysis,analysis,analysis,,,,exploration,exploration,-PRON-,-PRON-,Our,to,of,of,of,towards,towards,towards,like,like,like,,,,,,,,,,to,to,",",,,,,,,",",",",lead,combine,combine,combine,lead,lead,empower,empower,empower
,,,,0,0,0,,"paper recommender engines,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper,recommender,recommender,recommender,,,,,,,paper,paper,engine,,,,,,,engine,engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,",",",",,,,,,,,,
,,,,0,0,0,,"category prediction,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,category,,,,,,,,,,category,category,prediction,,,,,,,prediction,prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,",",",",,,,,,,,,
,,,,0,0,0,,"co-citation networks,",,,,,,,,,,,,,,,,,,,,,,citation,,,,,,,citation,citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,network,,,,,,,network,networks,co,-,-,-,co,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,",",",",,,,,,,,,
"
",,,,0,0,0,"
","
",,,,,,,,,,,,,,,,,,,,,,semantic,,,,,,,semantic,semantic,,,,,,,,,,,,,,,,and,,,,and,and,,,,knowledge,graph,graph,graph,,,,,,,knowledge,knowledge,construction,search,search,search,interface,interface,interfaces,construction,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,.,,,,,,,,,
,be,be,is,0,0,0,,The dataset is freely available via Google Cloud Storage buckets (more info here).,,,,available,available,available,,,,freely,here,here,here,freely,freely,,,,,,,more,,,,,,,more,more,info,info,info,,,,,,,,,,,,,,,,,,,,,,Google,Cloud,Cloud,Cloud,Storage,Storage,Storage,,,,Google,Google,,,,,,,,,,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",,,,,,,the,The,,,,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",,,,,,,dataset,dataset,,,,,,,,,,bucket,,,,,,,,,,,,,bucket,buckets,,,,via,,,,,,,,,,,,,,,,,,,via,via,(,),),),.,.,.,(,(,,,,,,,,,
"
",stay,stay,Stay,0,0,0,"
","
",,,,tune,tune,tuned,,,,,,,,,,,,,,,,weekly,,,,,,,weekly,weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",,,,,,,the,the,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",dataset,dataset,,,,,,,,,,update,updates,,,,for,to,to,to,,,,,,,,,,,,,,,,for,for,!,,,,,,,!,!,,,,,,,,,
,be,be,is,0,0,0,,"ArXiv is a collaboratively funded,",,,,,,,,,,collaboratively,,,,collaboratively,collaboratively,,,,,,,funded,,,,,,,funded,funded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,a,a,,,,,,,,,,ArXiv,,,,,,,ArXiv,ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,",",",",,,,,,,,,
"
",,,,0,0,0,"
","
",found,found,founded,,,,,,,,,,,,,by,by,by,by,by,by,support,,,,,,,support,supported,,,,resource,resource,resource,,,,,,,,,,and,and,and,and,and,and,,,,Paul,Cornell,Cornell,Cornell,,,,,,,Paul,Paul,maintain,operate,operate,operated,,,,maintain,maintained,,,,,,,,,,,,,,,,,,,,,,community,community,community,,,,,,,,,,,,,,,,,,,Ginsparg,1991,1991,1991,University,University,University,,,,,,,Ginsparg,Ginsparg,,,,in,,,,,,,,,,,,,,,,,,,in,in,-,.,.,.,,,,-,-,,,,,,,,,
,feature,feature,featured,0,0,0,,The release of this dataset was featured further in a Kaggle blog post here.,,,,,,,,,,further,here,here,here,further,further,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,be,was,,,,,,,,,,Kaggle,blog,blog,blog,,,,,,,Kaggle,Kaggle,,,,,,,,,,,,,,,,the,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",this,this,a,a,a,the,The,,,,,,,,,,,,,,,,,,,release,release,release,,,,,,,"the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more",post,post,post,,,,,,,,,,dataset,dataset,,,,of,in,in,in,,,,,,,,,,,,,,,,of,of,.,,,,,,,.,.,,,,,,,,,
